ILMN_1680239 NUDT9
ILMN_1794011 CHST2
ILMN_1687782 RAD17
ILMN_1665557 USP15
ILMN_1738642 CMPK1
ILMN_1718129 MAP2K5
ILMN_1733110 RASSF7
ILMN_1733579 EVI2A
ILMN_1722648 SF3B4
ILMN_1741736 DDX28
ILMN_1742133 POLR3E
ILMN_1700432 ITPKB
ILMN_1804789 CCAR2
ILMN_1763638 BCAR3
ILMN_1705464 MRPL41
ILMN_1724598 RABL2A
ILMN_1748770 CKAP5
ILMN_1716336 CKAP5
ILMN_1789970 NA
ILMN_1652143 E2F3
ILMN_1793474 INSIG1
ILMN_1741780 DUSP28
ILMN_1661111 MORC2
ILMN_1735231 ZSWIM4
ILMN_1678781 ARHGAP33
ILMN_1671905 SFR1
ILMN_1683792 LAP3
ILMN_1728224 OGFR
ILMN_1691090 MPV17
ILMN_1802404 ABCC1
ILMN_1740466 FAM46A
ILMN_1689979 TMEM9B
ILMN_1754839 DHX15
ILMN_1768031 DEDD2
ILMN_1662318 CCDC59
ILMN_1683178 JAK2
ILMN_1680644 MIOS
ILMN_1667330 NA
ILMN_1813837 C9orf9
ILMN_1727347 GTF3A
ILMN_1767612 BBS2
ILMN_1768773 EGLN2
ILMN_1656904 SLC1A4
ILMN_1785574 HTRA2
ILMN_1794339 FERMT3
ILMN_1759766 CTXN1
ILMN_1772233 ARAP1
ILMN_1783889 PRKAA1
ILMN_1756779 CLTC
ILMN_1798233 PSMB9
ILMN_1658399 KLRG1
ILMN_1678235 KANSL1
ILMN_1754307 KDM4D
ILMN_1698225 MYO5A
ILMN_1715823 FBXO16
ILMN_1774605 VDAC1
ILMN_1668414 KDM2A
ILMN_1730568 NA
ILMN_1693250 ACBD5
ILMN_1690942 SBNO1
ILMN_1809027 ATP5SL
ILMN_1670638 PITPNC1
ILMN_1657680 CCDC69
ILMN_1760506 HSD17B7P2
ILMN_1739222 ETV5
ILMN_1723260 ETV5
ILMN_1660440 ABHD17B
ILMN_1807455 DHRS7
ILMN_1797341 ARID1A
ILMN_1747184 PUS7L
ILMN_1789364 ZNF789
ILMN_1677747 TMPO
ILMN_1768816 TMPO
ILMN_1711139 VPS37A
ILMN_1802631 AGA
ILMN_1766560 ANKHD1-EIF4EBP3
ILMN_1793563 DCTN1
ILMN_1751097 CREB3L2
ILMN_1772316 SUN1
ILMN_1767256 MBTPS1
ILMN_1661687 IL21R
ILMN_1773389 PLTP
ILMN_1754663 TSPO
ILMN_1681679 TSPO
ILMN_1713751 ADAM19
ILMN_1807357 NHLRC3
ILMN_1750401 C17orf62
ILMN_1741017 PIP4K2B
ILMN_1812105 PIP4K2B
ILMN_1684368 SMIM3
ILMN_1795846 PPP2R5C
ILMN_1751051 C7orf25
ILMN_1804051 MIR6836
ILMN_1657632 ZMYM6NB
ILMN_1668345 OAF
ILMN_1732347 FAM213B
ILMN_1694274 NDUFC2
ILMN_1658027 RAD54L
ILMN_1771697 VRK3
ILMN_1672350 JAM2
